File_Size_Bytes,Attributes,CPU_State,Memory_State,Network,Avail_CPU_%,Avail_Memory_%,Full_Execution_Time_s,Partial_RP1_Time_s,Transmission_Time_s,Partial_RP2_Time_s,Partial_Total_Time_s,Offload_Decision
1,20,Medium,Idle,LAN,28.767175457650033,73.99990441461864,0.22760224342346191,0.08645153045654297,0.0100039,0.006924515584796946,0.1033799460413399,0
1,20,Medium,Idle,WLAN,36.73257460855373,53.67684974375021,0.22886133193969727,0.08410835266113281,0.050007800000000005,0.005735483795897626,0.13985163645703044,0
1,20,Medium,Medium,LAN,48.25973608367762,30.315883690009017,0.22710108757019043,0.09371709823608398,0.0100039,0.007514091670468282,0.11123508990655226,0
1,20,Medium,Medium,WLAN,47.50039819308421,33.723473525033185,0.2292945384979248,0.08643341064453125,0.050007800000000005,0.006089409595569461,0.1425306202401007,0
1,20,Medium,Critical,LAN,34.5420342696537,6.053470314087539,0.22835969924926758,0.0858912467956543,0.0100038,0.01606195367594633,0.11195700047160063,0
1,20,Medium,Critical,WLAN,23.49324315660102,4.9111470487600855,0.22709274291992188,0.09285902976989746,0.050007800000000005,0.019249262176948355,0.16211609194684581,0
1,20,Critical,Idle,LAN,15.167517351283141,55.748821694447194,0.23010778427124023,0.08477997779846191,0.0100039,0.0061799932885800305,0.10096387108704194,0
1,20,Critical,Idle,WLAN,19.012374470655132,65.41540620722908,0.22871041297912598,0.08550262451171875,0.050007800000000005,0.012709323333184964,0.14821974784490372,0
1,20,Critical,Medium,LAN,16.426384599066115,32.318791558304945,0.23613810539245605,0.08613204956054688,0.0100039,0.015336028610199396,0.11147197817074626,0
1,20,Critical,Medium,WLAN,17.249498864915086,26.492744834069917,0.2290351390838623,0.08643293380737305,0.050007800000000005,0.0059712668316482635,0.1424120006390213,0
1,20,Critical,Critical,LAN,16.420378942555644,17.820538598939308,0.22873568534851074,0.08671069145202637,0.0100039,0.013056148036094783,0.10977073948812115,0
1,20,Critical,Critical,WLAN,13.441214044602454,8.43074396653352,0.23474502563476562,0.0866692066192627,0.050007600000000006,0.017394799703506963,0.15407160632276967,0
1,30,Idle,Idle,LAN,76.94249190651556,79.0565045372067,0.313281774520874,0.0948343276977539,0.0100038,0.018639535025775804,0.12347766272352972,0
1,30,Idle,Idle,WLAN,66.46655667158264,66.40837588422337,0.31259942054748535,0.10084962844848633,0.050007800000000005,0.010778026623221254,0.16163545507170757,0
1,30,Idle,Medium,LAN,66.14410171807887,28.63702465095895,0.3139007091522217,0.09491539001464844,0.0100039,0.018789430319492137,0.12370872033414057,0
1,30,Idle,Medium,WLAN,62.033836808164054,44.26233705419297,0.31131577491760254,0.10056424140930176,0.050007800000000005,0.009253107794313941,0.15982514920361568,0
1,30,Idle,Critical,LAN,76.96825117527662,4.24984675395905,0.31450486183166504,0.09377503395080566,0.0100039,0.0059289245656267645,0.10970785851643243,0
